"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"FBgn0000003",0.171568715207063,1.02604541037965,3.80550342492604,0.269621465496276,0.78745148465844,NA
"FBgn0000008",95.1440789963134,0.00215142369234105,0.223883804763376,0.00960955480730237,0.992332802585943,0.996927101169858
"FBgn0000014",1.05657219346166,-0.496735568508727,2.16026425868438,-0.229942039040743,0.818136808995179,NA
"FBgn0000015",0.846723274987709,-1.88276170250675,2.10643223455091,-0.893815462764297,0.371420634540639,NA
"FBgn0000017",4352.5928987935,-0.240025230003093,0.126024321525666,-1.90459450284928,0.0568328017193061,0.282361133754032
"FBgn0000018",418.614930505122,-0.104799112236757,0.148280289958626,-0.706763604697558,0.479713395567901,0.823907261929765
"FBgn0000022",0.0796749105101128,-0.719763685204582,3.81458895662518,-0.188687088802713,0.850338071459213,NA
"FBgn0000024",6.40628919476961,0.210807084269428,0.690348536438041,0.305363266730627,0.760089495426046,NA
"FBgn0000028",0.438900024085017,1.41421471082294,2.77952373312784,0.508797494321627,0.610894175920718,NA
"FBgn0000032",989.730032286706,-0.0919050485188779,0.147697433758681,-0.622252169046072,0.533776067073866,0.849773949169048
"FBgn0000036",0.589596332729872,-0.0654492210377437,2.3047708289125,-0.0283972793375842,0.97734529410179,NA
"FBgn0000037",14.0948138653578,0.463068060192505,0.491402582727011,0.942339492036722,0.346018855202592,0.74090942419634
"FBgn0000038",0,NA,NA,NA,NA,NA
"FBgn0000039",0.438900024085017,1.41421471082294,2.77952373312784,0.508797494321627,0.610894175920718,NA
"FBgn0000042",82207.7246355838,0.314524848355405,0.140541527853073,2.23794954530607,0.0252243455584982,0.164531526711113
"FBgn0000043",31162.0800981548,0.619578732154939,0.123317574092391,5.024253328976,5.05394905783646e-07,1.72393516427758e-05
"FBgn0000044",27.0142162829088,0.414972810164976,0.414720947459255,1.0006073064485,0.317016696344124,0.719312526857081
"FBgn0000045",6.49768786824646,0.15266193520931,0.713899930093922,0.213842205012159,0.830670111289502,NA
"FBgn0000046",23.6865655871929,0.60423854767326,0.461037057263454,1.31060733221706,0.189990460757968,0.569014251489229
"FBgn0000047",9.27446768376142,0.682066956504612,0.658141000353877,1.03635384535817,0.30003709435549,0.702842677865836
"FBgn0000052",2342.87838063352,-0.135495999150114,0.136696700521197,-0.991216310514413,0.321579967855932,0.721371475391074
"FBgn0000053",2100.27876868186,0.296060124559076,0.137257340659742,2.15697115459203,0.0310079120508539,0.189346186353087
"FBgn0000054",654.288209497534,-0.119920698613203,0.118496314269507,-1.01202049491984,0.311528254199371,0.713127135589553
"FBgn0000055",0.087343676946538,0.900294226591478,3.81016488296462,0.236287471604372,0.813209607942473,NA
"FBgn0000056",0,NA,NA,NA,NA,NA
"FBgn0000057",682.648317882294,-0.0235498507919935,0.121581340910502,-0.193696258123432,0.846413721942855,0.963157296464086
"FBgn0000061",1.57835265432906,0.310106426877786,1.4800572786214,0.209523260590722,0.834039779011832,NA
"FBgn0000063",404.771774959063,0.205592739603596,0.12991634485662,1.58250095344427,0.113535254830123,0.430327914179727
"FBgn0000064",7917.16080656924,0.299544253664888,0.103456682452166,2.89535916448303,0.00378724930690108,0.0392334605858015
"FBgn0000071",342.2384071951,2.67958365080608,0.182611754735627,14.673664653655,9.50687341295004e-49,8.79174526844258e-46
"FBgn0000075",2.0524421521127,-0.414316618304639,1.20415946952857,-0.344071220456243,0.730792725772543,NA
"FBgn0000077",224.199083286086,-0.055965058875523,0.156728955624033,-0.357081808225494,0.721030562870842,0.927123162077958
"FBgn0000078",29.0157817140274,-1.02026003036567,0.397263629044209,-2.56821907613428,0.0102222529872722,0.0861131696488529
