"","treated1","treated2","treated3","untreated1","untreated2","untreated3","untreated4"
"FBgn0000003",-2.03917318098327,-2.03721940693226,-2.03233889003207,-2.03824710763823,-2.03940795186441,-2.03681393639758,-2.0371870515234
"FBgn0000008",6.50521583217279,6.6702128910976,6.50028957300318,6.47758093128502,6.53128128380603,6.67436673905073,6.55244037767627
"FBgn0000014",0.178079580098746,0.14893480835747,0.148599827492023,0.199668138679849,0.153680419698204,0.149555137895991,0.148983071004156
"FBgn0000015",-0.287177135857775,-0.293686558739798,-0.293961258310997,-0.294845010449421,-0.280135404191187,-0.276527565003094,-0.263545066241944
"FBgn0000017",11.9500193890939,12.0104548136677,12.0028283695301,12.0252306574575,12.1939071931568,12.3146899643374,12.0473067568531
"FBgn0000018",8.75310914953103,8.65512929187551,8.60613359591834,8.88137525021535,8.71938380501609,8.62319464511261,8.69513217063927
"FBgn0000022",-2.03816402430507,-2.03719761064397,-2.03731087263254,-2.03770595192389,-2.03575279320563,-2.03699704893434,-2.03718160638333
"FBgn0000024",2.67914483369526,2.71185033281707,2.67850197890268,2.7103054406721,2.67935447242373,2.664813486987,2.65719880873827
"FBgn0000028",-1.21392503592145,-1.20007755924763,-1.20057485366611,-1.21340627034362,-1.20619199394549,-1.21029372124932,-1.21110404950179
"FBgn0000032",9.99283857982021,9.87547492889763,9.87019907490247,10.1840370346469,9.91514355308625,9.90751383181132,9.85517914240288
"FBgn0000036",-0.668320860935845,-0.674665049705826,-0.661791532945867,-0.654670559374658,-0.669027265638928,-0.673574911789925,-0.67457805976459
"FBgn0000037",3.7852988976006,3.84813615568689,3.86846074296315,3.79703615413173,3.80531150232491,3.80459238342039,3.73175621374006
"FBgn0000038",0,0,0,0,0,0,0
"FBgn0000039",-1.21392503592145,-1.20007755924763,-1.20057485366611,-1.21340627034362,-1.20619199394549,-1.21029372124932,-1.21110404950179
"FBgn0000042",16.2679235158748,16.5188155319287,16.5179643164203,16.4052932639207,16.120352958898,16.1716092309066,16.1735599288513
"FBgn0000043",15.0123246175269,15.2017545794427,15.2010775474365,14.8566920460615,14.6140795622991,14.6844160159586,14.6756781225355
"FBgn0000044",4.86834403102283,4.8357713027707,4.68246827401769,4.66946083144766,4.83307249993325,4.72091468802943,4.66643632267507
"FBgn0000045",2.75284336255761,2.714951469507,2.7354512218804,2.74392707689193,2.75081396722372,2.67789803031049,2.72955773814439
"FBgn0000046",4.6371140467828,4.69320066121748,4.47275456545831,4.41132884480861,4.59364355613023,4.51754599846595,4.503363233031
"FBgn0000047",3.34121357580062,3.25728975320881,3.18390969718074,3.19567564130999,3.26074568506668,3.20113443798274,3.19084035301016
"FBgn0000052",11.0086671954569,11.2229804568378,11.1718425738541,11.3147293743552,11.0390494895282,11.2541567163825,11.2872679602568
"FBgn0000053",10.9827155697528,11.227216389308,11.195451426333,10.9746597897717,10.7765590549755,10.9715270524734,11.0294546901917
