"","treated1","treated2","treated3","untreated1","untreated2","untreated3","untreated4"
"FBgn0000003",0,0,1.20098100644944,0,0,0,0
"FBgn0000008",85.5968034076073,115.59634139459,84.0686704514607,80.8249076813029,89.7936241448971,117.004614630231,93.123591264104
"FBgn0000014",2.44562295450307,0,0,4.39265802615777,0.55772437357079,0,0
"FBgn0000015",0.611405738625766,0,0,0,1.11544874714158,1.53953440302936,2.66067403611726
"FBgn0000017",3793.77260817288,4035.36319050205,4004.07067550243,4097.47140679997,4860.01019129586,5486.90061239664,4190.56160688468
"FBgn0000018",441.434943287803,392.764841783891,369.902149986427,512.183925849996,424.428248287371,377.185928742193,412.404475598175
"FBgn0000022",0,0,0,0,0.55772437357079,0,0
"FBgn0000024",6.11405738625766,9.19516352002421,6.0049050322472,8.78531605231554,6.13496810927869,4.61860320908808,3.99101105417588
"FBgn0000028",0,1.31359478857489,1.20098100644944,0,0.55772437357079,0,0
"FBgn0000032",1038.16694418655,914.261972848122,909.142621882225,1270.35670116483,955.381851926763,946.813657863056,893.986476135398
"FBgn0000036",0.611405738625766,0,1.20098100644944,1.75706321046311,0.55772437357079,0,0
"FBgn0000037",12.2281147725153,18.3903270400484,20.4166771096405,13.1779740784733,13.9431093392697,13.8558096272642,6.65168509029314
"FBgn0000038",0,0,0,0,0,0,0
"FBgn0000039",0,1.31359478857489,1.20098100644944,0,0.55772437357079,0,0
"FBgn0000042",77870.4690885935,99963.2498157604,99878.3844203612,89315.0371142607,67017.8339013868,70633.838410987,70775.2596977371
"FBgn0000043",34268.068838497,41274.4618518115,41246.4916854995,29344.7126779444,22932.5107924837,24643.327189291,24424.9876515564
"FBgn0000044",39.129967272049,36.7806540800969,19.215696103191,18.4491637098626,35.1366355349598,23.0930160454404,17.2943812347622
"FBgn0000045",8.55968034076073,5.25437915429955,7.20588603869663,7.90678444708398,8.36586560356185,1.53953440302936,6.65168509029314
